file_path,file_name,section,module,file_format,size_kb,word_count,line_count,n_commits,days_shared,days_since_update
.gitattributes,.gitattributes,(root),,none,0.0,,,1,34,34
.gitignore,.gitignore,(root),,none,0.4,,,10,49,7
.gitmodules,.gitmodules,(root),,none,0.9,,,1,7,7
Canyon Notes/CMPIF2100_Part1_Canyon_Notes.pdf,CMPIF2100_Part1_Canyon_Notes.pdf,Canyon Notes,,pdf,3243.4,,,1,23,23
Canyon Notes/README.md,README.md,Canyon Notes,,md,3.4,515,59,3,23,0
Cliff Jumper Notes/Module-10_Cliff_Jumper_Notes.md,Module-10_Cliff_Jumper_Notes.md,Cliff Jumper Notes,10,md,20.1,2876,410,1,7,7
Cliff Jumper Notes/Module-1_Cliff_Jumper_Notes.md,Module-1_Cliff_Jumper_Notes.md,Cliff Jumper Notes,1,md,13.1,2015,259,3,44,23
Cliff Jumper Notes/Module-2_Cliff_Jumper_Notes.md,Module-2_Cliff_Jumper_Notes.md,Cliff Jumper Notes,2,md,7.7,1276,211,3,44,23
Cliff Jumper Notes/Module-3_Cliff_Jumper_Notes.md,Module-3_Cliff_Jumper_Notes.md,Cliff Jumper Notes,3,md,9.2,1529,192,3,44,23
Cliff Jumper Notes/Module-4_Cliff_Jumper_Notes.md,Module-4_Cliff_Jumper_Notes.md,Cliff Jumper Notes,4,md,10.5,1739,231,3,44,23
Cliff Jumper Notes/Module-5_Cliff_Jumper_Notes.md,Module-5_Cliff_Jumper_Notes.md,Cliff Jumper Notes,5,md,16.8,2662,373,3,44,23
Cliff Jumper Notes/Module-6_Cliff_Jumper_Notes.md,Module-6_Cliff_Jumper_Notes.md,Cliff Jumper Notes,6,md,19.7,2967,444,3,36,23
Cliff Jumper Notes/Module-8_Cliff_Jumper_Notes.md,Module-8_Cliff_Jumper_Notes.md,Cliff Jumper Notes,8,md,18.7,2680,454,2,23,23
Cliff Jumper Notes/Module-9_Cliff_Jumper_Notes.md,Module-9_Cliff_Jumper_Notes.md,Cliff Jumper Notes,9,md,22.5,3188,480,2,8,8
Cliff Jumper Notes/Module_7_CLiff_Jumper_Notes_Part_1.md,Module_7_CLiff_Jumper_Notes_Part_1.md,Cliff Jumper Notes,7,md,7.4,1124,124,3,32,23
Cliff Jumper Notes/Module_7_CLiff_Jumper_Notes_Part_2.md,Module_7_CLiff_Jumper_Notes_Part_2.md,Cliff Jumper Notes,7,md,15.4,2404,298,4,31,23
Cliff Jumper Notes/README.md,README.md,Cliff Jumper Notes,,md,5.6,911,65,10,44,7
Cliff Notes Module 01/About the Instructor_CliffNotes.txt,About the Instructor_CliffNotes.txt,Cliff Notes,1,txt,3.2,341,70,4,49,7
Cliff Notes Module 01/Course_Introduction_Transcript_CliffNotes.txt,Course_Introduction_Transcript_CliffNotes.txt,Cliff Notes,1,txt,3.7,432,77,4,49,7
Cliff Notes Module 01/List_Comprehension_Part_1_CliffNotes.txt,List_Comprehension_Part_1_CliffNotes.txt,Cliff Notes,1,txt,7.0,942,167,4,49,7
Cliff Notes Module 01/Student Support_CliffNotes.txt,Student Support_CliffNotes.txt,Cliff Notes,1,txt,3.5,392,77,4,49,7
Cliff Notes Module 01/The_Data_Science_Pipeline_Transcript_CliffNotes.txt,The_Data_Science_Pipeline_Transcript_CliffNotes.txt,Cliff Notes,1,txt,5.3,723,119,4,49,7
Cliff Notes Module 01/What_are_Data_and_Data_Science_Transcript_CliffNotes.txt,What_are_Data_and_Data_Science_Transcript_CliffNotes.txt,Cliff Notes,1,txt,5.7,714,127,4,49,7
Cliff Notes Module 02/List_Comprehension_Part_2_CliffNotes.txt,List_Comprehension_Part_2_CliffNotes.txt,Cliff Notes,2,txt,3.7,456,99,4,49,7
Cliff Notes Module 03/Getting Stuck on Programming Problems_CliffNotes.txt,Getting Stuck on Programming Problems_CliffNotes.txt,Cliff Notes,3,txt,3.5,443,70,4,49,7
Cliff Notes Module 03/The Processes of Programming_CliffNotes.txt,The Processes of Programming_CliffNotes.txt,Cliff Notes,3,txt,5.1,716,111,4,49,7
Cliff Notes Module 03/Tips For Python Programming_CliffNotes.txt,Tips For Python Programming_CliffNotes.txt,Cliff Notes,3,txt,2.6,320,54,4,49,7
Cliff Notes Module 04/Random Sampling from Probability Distributions - Cliff Notes.md,Random Sampling from Probability Distributions - Cliff Notes.md,Cliff Notes,4,md,1.9,299,31,4,49,7
Cliff Notes Module 04/Standard_Error_Confidence_Intervals_CliffNotes.txt,Standard_Error_Confidence_Intervals_CliffNotes.txt,Cliff Notes,4,txt,2.6,427,44,4,49,7
Cliff Notes Module 04/Variance_and_Standard_Deviation_CliffNotes.txt,Variance_and_Standard_Deviation_CliffNotes.txt,Cliff Notes,4,txt,2.2,358,42,4,49,7
Cliff Notes Module 05/1_dimensional_(1D)_NumPy_arrays_CliffNotes.txt,1_dimensional_(1D)_NumPy_arrays_CliffNotes.txt,Cliff Notes,5,txt,2.7,426,50,4,45,7
Cliff Notes Module 05/2-dimensional_(2D)_NumPy_arrays_CliffNotes.txt,2-dimensional_(2D)_NumPy_arrays_CliffNotes.txt,Cliff Notes,5,txt,3.1,531,58,4,45,7
Cliff Notes Module 05/Lab_NumPy_2D_arrays_Conditional_filtering_and_summary_statistics.txt,Lab_NumPy_2D_arrays_Conditional_filtering_and_summary_statistics.txt,Cliff Notes,5,txt,5.8,814,132,4,45,7
Cliff Notes Module 05/Module-5_Random_Number_Generation_with_NumPy_Lab_Cliff_Notes.md,Module-5_Random_Number_Generation_with_NumPy_Lab_Cliff_Notes.md,Cliff Notes,5,md,8.6,1317,217,4,44,7
Cliff Notes Module 05/Representing_Data_Tables_and_Dimensionality_CliffNotes.txt,Representing_Data_Tables_and_Dimensionality_CliffNotes.txt,Cliff Notes,5,txt,2.6,414,46,4,45,7
Cliff Notes Module 05/Reshaping_Flattening_and_Transposing_NumPy_Arrays_CliffNotes.txt,Reshaping_Flattening_and_Transposing_NumPy_Arrays_CliffNotes.txt,Cliff Notes,5,txt,4.6,751,77,4,45,7
Cliff Notes Module 05/numpy_simulation_standard_error_cliffnotes.md,numpy_simulation_standard_error_cliffnotes.md,Cliff Notes,5,md,3.1,471,95,4,44,7
Cliff Notes Module 06/Filtering_Rows_CliffNotes.txt,Filtering_Rows_CliffNotes.txt,Cliff Notes,6,txt,2.9,409,57,4,36,7
Cliff Notes Module 06/HW6_Cliff_Notes.txt,HW6_Cliff_Notes.txt,Cliff Notes,6,txt,5.3,757,138,4,36,7
Cliff Notes Module 06/Pandas_DataFrame_Columns_CliffNotes.txt,Pandas_DataFrame_Columns_CliffNotes.txt,Cliff Notes,6,txt,3.0,457,58,5,39,7
